construct,Ef_invitro,Ef_invitro_std
1,0.35524675,0.003065202
2,0.37371375,0.005023421
4,0.410667333,0.003272421
5,0.3006735,0.007419464
6,0.36296,0.004268
7,0.338101,0.000298
8,0.35814275,0.008213865
9,0.476382,0.004167
11,0.3878305,0.0044953
12,0.516497333,0.010311476
14,0.345093,0.005939843
15,0.363053,0.003593393
16,0.36777825,0.00550631
17,0.442402,0.00128
18,0.366267,0.001034
20,0.33409825,0.007481196
22,0.326103,0.00608
26,0.31110475,0.007970476
28,0.359667333,0.008453563
29,0.32011825,0.011480433
30,0.32855375,0.011107516
