,construct,Ef_cell,Ef_cell_std,Ef_cyto,Ef_cyto_std,Ef_nuc,Ef_nuc_std,Ef_cell_delta,Ef_cell_delta_std,Ef_cyto_delta,Ef_cyto_delta_std,Ef_nuc_delta,Ef_nuc_delta_std,directA_N/C_Q9,directA_N/C_Q9_std,directA_N/C_after_Q9,directA_N/C_after_Q9_std,directA_N/C_delta_Q9,directA_N/C_delta_Q9_std,n_wells,n_cells,Ef_invitro_mean_basal_c,Ef_invitro_std_basal_c,Ef_invitro_mean_crowded_c,Ef_invitro_std_crowded_c,Ef_invitro_mean_basal_b,Ef_invitro_std_basal_b
0,1,0.19819624286837037,0.008727764142207413,0.19818223227829584,0.009364106194812042,0.19642060489594845,0.007992818253167847,0.018763661132752987,0.014547261102439294,0.022147547353196264,0.015392401944306284,0.011657854096504215,0.013724594109504964,1.2377180658771476,0.0527798527395094,1.2974562348181233,0.05164751495317793,0.06319402560519785,0.02226221608071234,7.0,860.0,,,,,0.35524675,0.003065202
1,10,0.21896455217836774,0.008182769981454372,0.21951315845409503,0.006655773262057148,0.21712674604628288,0.008990847614150563,-0.050062059951909106,0.004623058106097783,-0.05111627709143503,0.004772745447410624,-0.046510833652462544,0.00503795401760176,1.1774119031023402,0.07131344700614123,1.2044354727814035,0.0793076484946002,0.0411526611294514,0.016722250704967377,8.0,766.0,,,,,,
2,11,0.20038850624035584,0.009022232733256386,0.2024533415507327,0.009253031657582235,0.20176207957190548,0.010023412886143467,-0.006279533564934478,0.00675821729603738,-0.007137232757527383,0.006211738266427664,-0.004920278586317805,0.00798830291584477,1.3742791095086753,0.07622706772765293,1.4359700301257998,0.09860124310373312,0.06008232510273945,0.023480168625887952,9.0,559.0,0.343844,0.000391,0.390325,9.19e-05,0.3878305,0.0044953
3,12,0.2453571533684551,0.011400543589413647,0.25078912031590256,0.011479327201176202,0.24083295050082265,0.010235089054574141,-0.03256728078879651,0.012923973042555808,-0.03660470553135934,0.010550379490122202,-0.033764185067218365,0.012398144011609201,1.3329463347298682,0.1205155198046453,1.3968197663503867,0.08846616885496356,0.07974720671943358,0.035056569571888775,7.0,327.0,,,,,0.516497333,0.010311476
4,13,0.2298034584815123,0.007897157227605879,0.22958328821147186,0.008890511417675285,0.22851067706863282,0.007935097323882994,-0.05549586845010588,0.005886253769930287,-0.05536773908925656,0.006618582467162747,-0.054908910848459995,0.007271920152739336,1.2927618600969655,0.043455887942333286,1.3809255339435005,0.051491876889882396,0.07745753023851719,0.02500681518210067,11.0,766.0,,,,,,
5,14,0.1876778750734596,0.011989582163148327,0.18866412566935833,0.012233015428965047,0.1871916836166131,0.011449422612900877,0.007905833684642946,0.008805008655914904,0.009908602793959505,0.009633181297519264,0.0032224967439770835,0.009301354524213629,1.179240713739905,0.03107897532316794,1.2450500594315814,0.03501615892042056,0.06030064194934984,0.008602911231966453,9.0,745.0,,,,,0.345093,0.005939843
6,15,0.21732022106535304,0.005655293436461069,0.21772804064692902,0.00580053562098923,0.21669231271241793,0.004276522539886736,0.0029313499693568125,0.0028922432693414143,0.005848445144255138,0.0027196777117298094,-0.0013852417825843872,0.0024575917753083616,1.202243584367332,0.05374134040738962,1.2988015790852612,0.06771032642461706,0.08871898109490892,0.020940220736437525,4.0,432.0,0.350857,0.001339,0.506606,0.010179,0.363053,0.003593393
7,16,0.20249945273378253,0.007003955334256523,0.2019487468693852,0.006738695979547434,0.2032057225582516,0.008278784892321778,0.008044492504488564,0.010276885379947318,0.013390763735085286,0.01114136768867031,-3.568040594409293e-05,0.007096695599116302,1.2569019598833067,0.06255115654555755,1.311801941386367,0.07443543771321967,0.06938334700746887,0.01887184930726197,7.0,466.0,,,,,0.36777825,0.00550631
8,17,0.24656914974529184,0.011951232193959006,0.23866748948508584,0.011802751219949595,0.2440265261023097,0.011503959985685805,-0.05414049954253046,0.01065142193824255,-0.0547026996398436,0.01005838878228044,-0.054547188464280985,0.01130186441829067,1.1792491062761465,0.13496838314072293,1.2322803488075638,0.1196510656174177,0.04641346714205362,0.03446386774961884,10.0,733.0,,,,,,
9,18,0.23645089222035454,0.018338497916177334,0.2332998357921747,0.020620764720101083,0.24255232978858168,0.019531716344272962,-0.03403674313733788,0.010231540289764068,-0.03793152056593566,0.008176921352568296,-0.033666567335647664,0.00535090930813867,1.4579734435477265,0.07208883704821259,1.4873685105100118,0.03554629457692754,0.027499699489737715,0.017570398608892666,3.0,96.0,,,,,,
10,19,0.258186134547418,0.00446878688384162,0.25539419940530317,0.004696124461168589,0.2607864691316552,0.0050430276379466385,-0.05838111185876142,0.0029299055740272615,-0.058875832079129824,0.0036625089012900405,-0.05800964026137486,0.0035836661258484056,1.4204193542111492,0.021089231691346823,1.4768534621994704,0.03769552268696792,0.07534432524363632,0.012643285530780016,4.0,815.0,,,,,,
11,2,0.2509417353547786,0.006156658613790002,0.24903547754522545,0.007827773684077464,0.2524199831551393,0.00612746328854031,0.0006246584252394713,0.009669037970279248,0.004434382352027043,0.009513785307543671,-0.00304941739679645,0.008917900539471897,1.2450579152237533,0.03935694879822506,1.2842119909108758,0.0390979339075741,0.060906202057493516,0.012259071156724791,7.0,301.0,,,,,0.37371375,0.005023421
12,20,0.14828427026628488,0.011296658839409023,0.14764157093684604,0.011389451794058501,0.1479690381578609,0.00989610970454793,0.021383068913319533,0.01282826724679594,0.02354794829356951,0.01381693899055796,0.01698230579995307,0.012201562336434768,1.1186058270415602,0.05119567067572354,1.1821906772652049,0.04903367125477807,0.06651555829323932,0.012262242641337314,11.0,886.0,0.309164,0.000449,0.415694,0.008096373,0.33409825,0.007481196
13,21,0.17087246197222014,0.011642170362645825,0.159803149515013,0.014144415326410241,0.17663220477766386,0.01006260884353228,0.02055009564040799,0.010809488178045962,0.025584130454547913,0.010219176595971836,0.013797377407572845,0.009156902706968484,1.199340395414953,0.020594079379616638,1.2837232040368696,0.0392262412993722,0.08583081313904148,0.026998057114177607,7.0,747.0,,,,,,
14,22,0.1877347100789664,0.00980499031113933,0.18656205599596476,0.01046191350278723,0.18890714023326763,0.007513299048782135,0.0001288831767339874,0.010859030185817034,0.0029814766344481375,0.012131343054762185,-0.002005964352874756,0.010232257439690485,1.2860550029322897,0.05472159158194206,1.3599488845228702,0.06662187945446318,0.07277459677608998,0.01620217367854158,8.0,663.0,,,,,0.326103,0.00608
15,23,0.20197045975513905,0.013285413404190687,0.19932328232447857,0.011473557121223974,0.1954484493229954,0.012566132107825836,-0.01541514521853218,0.006364309749011764,-0.013871742473737137,0.0051973562221489834,-0.023880869018030226,0.009978859666035952,1.1611061346795302,0.1884239508755559,1.1453028235096492,0.19267081232504385,0.015679364656844375,0.019292146715039114,8.0,975.0,,,,,,
16,24,0.1856107173211748,0.011465987844345141,0.1875847897406424,0.0121256008321384,0.17811689737174732,0.011493023132821252,-0.02467967849577426,0.008546248454607002,-0.02886071592760479,0.0077816510637256225,-0.018953218372054565,0.0074495076194052755,1.206108605155053,0.09656923147979544,1.22896443659628,0.0700004041247027,0.04394701486162691,0.0172808858231386,10.0,828.0,,,,,,
17,25,0.24169087609754294,0.009274097882971852,0.24161313532406842,0.008625037774191872,0.24004538261808664,0.010132361984203133,-0.05788094431636346,0.01095245787462387,-0.05718165977831583,0.011577554369306584,-0.05948222412390421,0.009749410410429002,1.2608204994984364,0.05082381742301585,1.3291383304454345,0.06076648346246865,0.07765728843772772,0.02381912265094497,7.0,644.0,,,,,,
18,26,0.1416273933719041,0.010395405398813005,0.14172719498533404,0.011682996887297053,0.1407568604251965,0.008511913214764194,0.04705301887100325,0.017573378958443797,0.04980348015931408,0.018273692361269914,0.041105287343977635,0.01502035405915276,1.1224621690042782,0.03671509631462862,1.1941003614125243,0.04546114138614229,0.05682367583395851,0.019116919456628675,6.0,605.0,0.283443,0.000405,0.3848975,0.007295221,0.31110475,0.007970476
19,27,0.26048817236261584,0.009649149266384747,0.2520508240316386,0.009839442647803285,0.26575703123587535,0.00990527023775917,-0.052147264072069585,0.011663685296187722,-0.052211858066732675,0.01035744241777291,-0.052562168345128515,0.012593710413111027,1.4499325544258959,0.051168879143638636,1.5369110392379761,0.0859127241565703,0.058035608094381685,0.019906490494366616,7.0,728.0,,,,,,
20,28,0.1712682148316706,0.010639067248876343,0.16986683388231302,0.012322982075798558,0.1709701836282917,0.011556032016811945,0.01935446334111537,0.008772940697698793,0.023986775572149757,0.009352836484128246,0.011692265902366121,0.007587860547471285,1.1524643839440913,0.03840388229730394,1.1998233479375686,0.0519406793240499,0.04761998232567176,0.008386266843031145,7.0,544.0,0.342725,0.000931,0.493966,0.012436,0.359667333,0.008453563
21,29,0.17352460793155347,0.0031102096247446987,0.17317053654164533,0.0031580083562736585,0.17429150995091472,0.002809292015653163,0.009522022413281565,0.008922752320466394,0.012895675003875158,0.009846606389487117,0.004448885744747207,0.008292402102745776,1.1667343695825008,0.02327871321168989,1.2430894964647545,0.035144515504715396,0.07343953690993595,0.012877073660064214,7.0,654.0,0.321622,0.000307,0.424935,0.000148492,0.32011825,0.011480433
22,3,0.22780827956602917,0.017741272179507796,0.22617012577990522,0.016754305143642068,0.22719492437004418,0.017128464568599854,0.00260172505352019,0.013712951411228094,0.00605032200701167,0.014775216887201053,-0.00633328572883794,0.01341933376142125,1.2249767515236638,0.06655844483128774,1.319239517805629,0.10771613207171361,0.07631300675306178,0.013780244742458363,5.0,169.0,,,,,,
23,30,0.16412851373340023,0.01259718217879992,0.1628377776234796,0.012090687804006,0.16353956932119926,0.012394634652043397,0.01816996803897916,0.016251353827894083,0.02151647329924154,0.01770518308298518,0.012342498164426187,0.014041702216160615,1.1501159608984683,0.04282895347032447,1.1978335436443668,0.04064462229302341,0.056411183544197815,0.012755277096178274,7.0,500.0,0.312597,0.000393,0.429164,0.003985254,0.32855375,0.011107516
24,31,0.1607244704959516,0.017402097878404566,0.15729564135547655,0.01904868120448185,0.15715729814867965,0.01695319331128963,-0.005532395562868834,0.006393478021226761,-0.0017839079145949334,0.004925396858945783,-0.011867749697050992,0.007145864097949584,1.0581929873098626,0.08045740140040639,1.0901061390229332,0.0702216024643288,0.02964080996533573,0.008661913360532932,6.0,269.0,,,,,,
25,32,0.18716197580400676,0.006565144097877051,0.1816696143226083,0.0072130928317051925,0.19505601717462936,0.007548401809260096,-0.017667822786111457,0.014611627494352235,-0.01748454022929161,0.013344920550062658,-0.019063932985531492,0.01742104575664284,1.4685292121514146,0.06428075919906126,1.4961604234942507,0.09887626485892421,0.013850534316983873,0.03617087124789425,6.0,180.0,,,,,,
26,35,0.4783366201938275,0.007846311172373372,0.47995650414267854,0.012165579123161845,0.4787177251582717,0.004007089784334424,-0.10337193147671511,0.009189606869315808,-0.09815480523802744,0.008061699058359562,-0.10949698648556902,0.00947448572610428,1.4983814148463175,0.1542842229352197,1.5557938013607249,0.12275842638917756,0.07411785232852638,0.012344646638412064,4.0,259.0,,,,,,
27,36,0.4158062752195005,0.006781868122320807,0.4278371228574998,0.007752103604825241,0.387363396933501,0.007216922060535525,-0.05341124034119019,0.005732632583794999,-0.04485798456378793,0.006411116372550579,-0.06686158686757906,0.00845375209068129,1.015672109749753,0.014774915478385497,1.041340298341295,0.01000229868399086,0.042107556542878864,0.004750792871135253,3.0,401.0,,,,,,
28,37,0.3768634260455085,0.001123967019111142,0.37981124645501285,0.0017673370830114468,0.37349595469190183,0.000959825971332903,-0.054172819416710975,0.010368849439034288,-0.04803743797516478,0.010576924545263095,-0.07001103144909429,0.002656804191132025,1.104397671409291,0.03783585520493033,1.1550379076326083,0.04976254828962953,0.0558300344671491,0.008580916745386866,2.0,313.0,,,,,,
29,38,0.3152203694717148,0.004431320588710222,0.3156251461501355,0.006043063686414838,0.3150254738917241,0.0041118227251769335,-0.07167006042838472,0.0047831369564533596,-0.06595461055926803,0.005305348631092813,-0.07980126682520162,0.005095031044991739,1.2719328402211247,0.0396345349718208,1.297575851332666,0.021174141736074067,0.06130040543709673,0.009996902896060464,5.0,552.0,,,,,,
30,39,0.13594357042379387,0.010196808187637222,0.13890917483105433,0.007773728975022759,0.1314802607991041,0.009450140332116379,0.057247307029664955,0.00887140447041915,0.06335445170760869,0.010146376179141863,0.041214639768898234,0.008737955190761345,1.038062847562163,0.06484908510238446,1.0759538013762147,0.06320300878184747,0.045185483178685315,0.010455565128001554,6.0,455.0,,,,,,
