construct,Ef_invitro_mean_basal,Ef_invitro_std_basal,Ef_invitro_mean_crowded,Ef_invitro_err_crowded
29,0.321622,0.000307,0.424935,0.000148492
5,0.275483,0.00037,0.34929,0.00463862
6,0.321339,0.000815,0.4189015,0.00752998
8,0.340954,0.000776,0.4313355,0.004605386
15,0.350857,0.001339,0.506606,0.010179
26,0.283443,0.000405,0.3848975,0.007295221
28,0.342725,0.000931,0.493966,0.012436
30,0.312597,0.000393,0.429164,0.003985254
20,0.309164,0.000449,0.415694,0.008096373
11,0.343844,0.000391,0.390325,9.19e-05
4,0.395987,0.000705,0.4442545,0.000594677
