base_origin,feature,r_mean,r_std,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_calculated_std,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac A_raw,0.41431448507000246,0.12222950047986117,1.3329562319935861,0.4002786931528118,0.0015404545674710367,0.001,54,0.16268355261111114,0.012801708646914477,1.8927320611018903,0.008844036697247707,2.053349464037793
Os_LEA_or6,nardini_Frac C_raw,0.12264021925766931,0.07236773107071809,9.975618744545331,4.496765864839539,0.5848353199240557,0.0686427457098284,31,0.1443312886451613,0.7599071076649678,0.11923949336945971,0.22057202288091524,0.6564495738494617
Os_LEA_or6,nardini_Frac D_raw,0.05362754084216795,0.13848886680204653,1.1720590903155572,0.9848501101423917,0.6804888219794432,0.688,58,0.17779215570689655,0.8303686384660547,0.0807290617094148,0.8280049937578027,0.08196704394589562
Os_LEA_or6,nardini_Frac E_raw,0.07618299255118051,0.14202620865900137,0.10515821556536341,1.0470592996257053,0.5597894423230945,0.6,59,0.1807590408983051,0.7443269274475353,0.12823626929196646,0.7774193548387096,0.10934465125940433
Os_LEA_or6,nardini_Frac F_raw,-0.369466761132392,0.1445443493546096,-9.096825079734435,3.9929327704854303,0.01054583847903943,0.016,45,0.15305397557777778,0.05322611672143461,1.2738752179897965,0.0720747663551402,1.1422167567904353
Os_LEA_or6,nardini_Frac G_raw,0.09589663181777658,0.18328094100966769,0.9736598412949431,2.274314005927799,0.5854069036628136,0.59,33,0.14826943278787882,0.7599071076649678,0.11923949336945971,0.7685945945945946,0.11430267418600125
Os_LEA_or6,nardini_Frac H_raw,-0.13091837231563797,0.10231073567284964,-9.642545002453852,9.414021012105923,0.5275571459310966,0.1462857142857143,27,0.13940545555555556,0.7226467760016875,0.14107393053171585,0.3630330788804071,0.4400538010776386
Os_LEA_or6,nardini_Frac I_raw,-0.025263707229990308,0.22883366689615262,-0.3194050755136613,1.8438112380442067,0.8907753974975696,0.898,22,0.15901656654545457,0.9407288414746253,0.026535540889206538,0.9378894907908992,0.027848330455776917
Os_LEA_or6,nardini_Frac K_raw,0.2781203806761645,0.12329228928713556,1.1374668170408941,0.6189581501377616,0.02829580112607167,0.032,63,0.16811542261904763,0.11179160772759464,0.9515907980095112,0.12489068825910933,0.9034699410369289
Os_LEA_or6,nardini_Frac L_raw,-0.25014447117440636,0.1313227454293685,-3.1145976078238435,1.905679437617609,0.06382826948089218,0.06,56,0.15799512233928573,0.20510150593193355,0.6880311508674805,0.20013840830449828,0.6986695584700734
Os_LEA_or6,nardini_Frac M_raw,-0.3625403582069663,0.12849140214612578,-6.229415411512271,2.295560350186256,0.0055915622123753235,0.008,55,0.15379802654545455,0.033069116397115406,1.4805774092285324,0.042142076502732245,1.3752840688356551
Os_LEA_or6,nardini_Frac N_raw,-0.0670642702131326,0.22623281470474207,0.1233545259424988,0.9174694707779049,0.7284860884719109,0.764,23,0.1226515165652174,0.8595600848065142,0.06572375994508735,0.8830887290167866,0.053995658159218
Os_LEA_or6,nardini_Frac P_raw,0.3384598124197528,0.21470363541954493,5.078562713194303,3.3630526892400248,0.09650705653266028,0.154,23,0.16537296891304346,0.27253175394274715,0.564582888768325,0.3720701754385965,0.4293751409474544
