base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac A_raw,0.44126605768024413,0.11683592313963598,0.44889660552453026,1.1787342362315665,0.33388840111381757,0.0005870033149371123,0.001,55,0.06078673545691639,0.005789464066928774,2.2373616372307987,0.008902654867256637,2.050480462763511
Os_LEA_or6,nardini_Frac C_raw,-0.007814328346637178,0.11955566641853657,-0.004803898364365085,1.2631245207380026,6.070191965614062,0.9791824662008032,0.9328782707622298,32,0.052068740789951135,0.9920015720020221,0.003487639628822553,0.9718807810894141,0.01238700594874469
Os_LEA_or6,nardini_Frac D_raw,-0.01374855241187679,0.13927596822294247,-0.013502881116689118,0.6438541048510846,0.9050912137177769,0.9191511544038429,0.926,59,0.07416289550971182,0.9672239135253827,0.014472974571053707,0.9713826903023983,0.012609639768820681
Os_LEA_or6,nardini_Frac E_raw,0.030909383339903066,0.1427607876552839,0.030168446238363723,-0.040112513428691626,0.8608371255488213,0.8190087845430017,0.842,60,0.07385494205528169,0.9186909260907594,0.03683057312967248,0.9247292576419214,0.0339854014482923
Os_LEA_or6,nardini_Frac F_raw,-0.375618041427301,0.13726839494935184,-0.38238610891968444,-8.215354281404357,3.1126413852911843,0.00872628688331317,0.012,46,0.06314159506427279,0.04719701400329596,1.3260854768513535,0.05888780487804878,1.229974634288221
Os_LEA_or6,nardini_Frac G_raw,0.10978200025743312,0.17751280082760135,0.11145142233468512,0.9100162829234948,1.748507127927671,0.5303185085627442,0.528,34,0.05253434197206938,0.7268855983007042,0.13853393568333816,0.7218493539374891,0.14155342788754996
Os_LEA_or6,nardini_Frac H_raw,-0.15285890754716985,0.10963241681063733,-0.15141119678398096,-5.640356934552383,4.675805554667895,0.44182512595546597,0.14389989572471323,28,0.05299778723533809,0.6548699732415173,0.18384492216010662,0.3610057234390562,0.4424859126697008
Os_LEA_or6,nardini_Frac I_raw,-0.07827144801968275,0.20944701663431955,-0.08642268998449584,-0.46093745658168433,1.141388138284534,0.6949915823543734,0.682,23,0.07994959698106856,0.8289895480446193,0.081450945028933,0.8254976076555025,0.08328418101235605
Os_LEA_or6,nardini_Frac K_raw,0.2588189883153741,0.12762266136771938,0.2549856416069158,0.8293104275338414,0.5294720496458524,0.042009392202022336,0.052,64,0.07255669250911484,0.15309485645786106,0.815039400088759,0.17976632302405499,0.7452916646311996
Os_LEA_or6,nardini_Frac L_raw,-0.2763394286142528,0.12581490885107127,-0.27700641810890403,-2.6505294453414554,1.8220718895304506,0.03697574385331719,0.03,57,0.0630647999244194,0.13828103463359517,0.8592373796793836,0.12218623481781377,0.9129777178200947
