feature,pvalue,top_median,bottom_median,top_n,bottom_n,padj,significant,direction
nardini_Frac I_raw,4.3943134809805625e-17,0.0,0.038961039,209,52,2.4608155493491152e-15,True,Bottom > Top
sparrow_complexity,5.364654320508694e-16,0.760895079,0.859136073,209,52,1.5021032097424343e-14,True,Bottom > Top
avg_beta_prob,1.4806531714981616e-15,0.003202187,0.037770092500000005,209,52,2.7638859201299017e-14,True,Bottom > Top
calvados_epsilon_self,2.976269636239487e-12,17.808848675,7.413306793,216,63,3.372400351522933e-11,True,Top > Bottom
nardini_Frac M_raw,3.0110717424311898e-12,0.011235955,0.0414585415,209,52,3.372400351522933e-11,True,Bottom > Top
nardini_Frac A_raw,1.3945188360867407e-11,0.181818182,0.077922078,209,52,1.3015509136809582e-10,True,Top > Bottom
nardini_Disorder Promoting_raw,2.751418966998437e-11,0.835164835,0.714285714,209,52,2.2011351735987497e-10,True,Top > Bottom
cider_length,1.7294953927808818e-09,91.0,77.0,209,52,1.2106467749466173e-08,True,Top > Bottom
nardini_A Patch_raw,4.585010263820259e-09,0.120879121,0.0,209,52,2.852895275265939e-08,True,Top > Bottom
nardini_Frac L_raw,1.317094665825257e-08,0.032967033,0.05994006,209,52,7.375730128621439e-08,True,Bottom > Top
nardini_Frac H_raw,1.1020579262956902e-07,0.0,0.012987013,209,52,5.61047671568715e-07,True,Bottom > Top
nardini_Frac V_raw,1.2713915147568685e-07,0.021978022,0.0625,209,52,5.93316040219872e-07,True,Bottom > Top
nardini_Frac P_raw,3.35884185562142e-07,0.010989011,0.049180328,209,52,1.4468857224215348e-06,True,Bottom > Top
nardini_Hydrophobicity_raw,6.451096364008203e-07,3.352808989,3.6233766235,209,52,2.5804385456032813e-06,True,Bottom > Top
nardini_Frac D_raw,4.013170769586783e-06,0.087912088,0.049180328,209,52,1.4982504206457324e-05,True,Top > Bottom
cider_mean_net_charge,8.943389692567092e-06,0.025974026,0.054945055,209,52,3.1301863923984825e-05,True,Bottom > Top
nardini_E/D Ratio_raw,6.002599857704031e-05,-0.051152522,0.2090716975,209,52,0.00019773270119495634,True,Bottom > Top
nardini_Frac D+E_raw,0.00024522741955295286,0.181818182,0.163934426,209,52,0.0007629297497202978,True,Top > Bottom
mpipi_epsilon_self,0.0004705882467433338,7.08753113,5.278380991,216,63,0.001386996937769826,True,Top > Bottom
cider_fraction_neutral,0.0005407656592981779,0.605263158,0.688311688,209,52,0.0014420417581284745,True,Bottom > Top
nardini_FCR_raw,0.0005407656592981779,0.394736842,0.311688312,209,52,0.0014420417581284745,True,Top > Bottom
nardini_Frac F_raw,0.0015408222019740775,0.0,0.011988012,209,52,0.003922092877752198,True,Bottom > Top
nardini_Iso point_raw,0.002012700111517924,8.75,9.1875,209,52,0.004811588740640701,True,Bottom > Top
nardini_NCPR_raw,0.002062109460274586,0.010989011,0.021183734500000002,209,52,0.004811588740640701,True,Bottom > Top
