feature,pvalue,top_median,bottom_median,top_n,bottom_n,padj,significant,direction
nardini_Frac I_raw,4.3943134809805625e-17,0.0,0.038961039,209,52,4.086711537311923e-15,True,Bottom > Top
sparrow_complexity,5.364654320508694e-16,0.760895079,0.859136073,209,52,2.4945642590365423e-14,True,Bottom > Top
avg_beta_prob,1.4806531714981616e-15,0.003202187,0.037770092500000005,209,52,4.590024831644301e-14,True,Bottom > Top
calvados_epsilon_self,2.976269636239487e-12,17.80884867481554,7.413306793258379,216,63,4.667161200768344e-11,True,Top > Bottom
nardini_Frac M_zscore,3.0110717424311898e-12,-0.300312166,1.240911541,209,52,4.667161200768344e-11,True,Bottom > Top
nardini_Frac M_raw,3.0110717424311898e-12,0.011235955,0.0414585415,209,52,4.667161200768344e-11,True,Bottom > Top
nardini_Frac A_raw,1.3945188360867407e-11,0.181818182,0.077922078,209,52,1.852717882229527e-10,True,Top > Bottom
nardini_Frac A_zscore,2.0375743718417348e-11,3.022823848,0.557870607,208,51,2.3686802072660165e-10,True,Top > Bottom
nardini_Disorder Promoting_raw,2.751418966998437e-11,0.835164835,0.714285714,209,52,2.5588196393085465e-10,True,Top > Bottom
nardini_Disorder Promoting_zscore,2.751418966998437e-11,1.267460982,-0.439095569,209,52,2.5588196393085465e-10,True,Top > Bottom
cider_length,1.7294953927808818e-09,91.0,77.0,209,52,1.4622097411692909e-08,True,Top > Bottom
nardini_A Patch_raw,4.585010263820259e-09,0.120879121,0.0,209,52,3.553382954460701e-08,True,Top > Bottom
nardini_Frac L_zscore,8.425780293949784e-09,-0.296590087,0.556718343,156,46,6.027673594902538e-08,True,Bottom > Top
nardini_Frac L_raw,1.317094665825257e-08,0.032967033,0.05994006,209,52,8.74927170869635e-08,True,Bottom > Top
nardini_Frac H_raw,1.1020579262956902e-07,0.0,0.012987013,209,52,6.83275914303328e-07,True,Bottom > Top
nardini_Frac V_raw,1.2713915147568685e-07,0.021978022,0.0625,209,52,7.389963179524298e-07,True,Bottom > Top
nardini_Frac D_zscore,1.9163212684878232e-07,0.342852408,-0.343885163,197,50,1.0483404586433385e-06,True,Top > Bottom
nardini_Frac P_raw,3.35884185562142e-07,0.010989011,0.049180328,209,52,1.7354016254044004e-06,True,Bottom > Top
nardini_Hydrophobicity_zscore,6.451096364008203e-07,0.277820701,0.8896443515,209,52,2.9997598092638146e-06,True,Bottom > Top
nardini_Hydrophobicity_raw,6.451096364008203e-07,3.352808989,3.6233766235,209,52,2.9997598092638146e-06,True,Bottom > Top
nardini_Frac V_zscore,1.6443422596638358e-06,-0.092812313,1.0839288265,178,50,7.282087149939844e-06,True,Bottom > Top
nardini_Frac D_raw,4.013170769586783e-06,0.087912088,0.049180328,209,52,1.696476734416231e-05,True,Top > Bottom
cider_mean_net_charge,8.943389692567092e-06,0.025974026,0.054945055,209,52,3.616240180037998e-05,True,Bottom > Top
nardini_Frac D+E_zscore,1.76034215788332e-05,0.318755086,0.143320625,198,51,6.821325861797865e-05,True,Top > Bottom
nardini_FCR_zscore,4.101480323837811e-05,0.998093245,0.256983234,200,52,0.00015257506804676658,True,Top > Bottom
